SL No,Station ID,Station,River,District,Upazila,Latitude,Longitude,First_Date,Last_Date,,,,,,,,,,,,,,,
1,SW1,Bagerhat,Alaipur Khal Daratona,Bagerhat,Bagerhat Sadar,22.6488,89.8037,4-Jan-00,20-Dec-25,,,,,,,,,,,,,,,
2,SW1.5,Mollikerbar,Alaipur Khal Daratona,Bagerhat,Bagerhat Sadar,22.5451,89.7365,4-Jan-00,20-Dec-25,,,,,,,,,,,,,,,
3,SW105,Off take at Atharobanka,Gorai-Madhumati-Haringhata-Baleswar,Bagerhat,Mollahat,22.9654,89.7825,4-Jan-00,20-Dec-25,,,,,,,,,,,,,,,
4,SW244.3,Badra,Rupsa-Pasur,Bagerhat,Mongla,22.2977,89.6032,17-Mar-98,2-Feb-26,,,,,,,,,,,,,,,
5,SW243.2,Bajua,Rupsa-Pasur,Bagerhat,Mongla,22.5258,89.5771,14-Mar-98,2-Feb-26,,,,,,,,,,,,,,,
6,SW244.4,Chal Bogi,Rupsa-Pasur,Bagerhat,Mongla,22.2695,89.5867,17-Mar-98,2-Feb-26,,,,,,,,,,,,,,,
7,SW244.2,Chaud Pai,Rupsa-Pasur,Bagerhat,Mongla,22.3446,89.6301,17-Mar-98,2-Feb-26,,,,,,,,,,,,,,,
8,SW244.14,Confluence of Shibsa,Rupsa-Pasur,Bagerhat,Mongla,21.9693,89.5363,17-Mar-98,3-Feb-26,,,,,,,,,,,,,,,
9,SW244.1,Dhang Mari,Rupsa-Pasur,Bagerhat,Mongla,22.4346,89.5847,17-Mar-98,2-Feb-26,,,,,,,,,,,,,,,
10,SW244.19,Hiron Point Jetty,Rupsa-Pasur,Bagerhat,Mongla,21.818,89.4624,1-Jan-70,3-Feb-26,,,,,,,,,,,,,,,
11,SW244,Mongla,Rupsa-Pasur,Bagerhat,Mongla,22.4807,89.608,4-Jan-00,20-Dec-25,,,,,,,,,,,,,,,
12,SW244.5,Pashur_13,Rupsa-Pasur,Bagerhat,Mongla,22.2341,89.5821,17-Mar-98,2-Feb-26,,,,,,,,,,,,,,,
13,SW244.6,Pashur_14,Rupsa-Pasur,Bagerhat,Mongla,22.2171,89.5637,17-Mar-98,2-Feb-26,,,,,,,,,,,,,,,
14,SW244.7,Pashur_15,Rupsa-Pasur,Bagerhat,Mongla,22.1976,89.5273,17-Mar-98,2-Feb-26,,,,,,,,,,,,,,,
15,SW244.8,Pashur_16,Rupsa-Pasur,Bagerhat,Mongla,22.1702,89.5608,17-Mar-98,2-Feb-26,,,,,,,,,,,,,,,
16,SW244.9,Pashur_17,Rupsa-Pasur,Bagerhat,Mongla,22.1422,89.588,17-Mar-98,2-Feb-26,,,,,,,,,,,,,,,
17,SW244.10,Pashur_18,Rupsa-Pasur,Bagerhat,Mongla,22.1062,89.5913,17-Mar-98,2-Feb-26,,,,,,,,,,,,,,,
18,SW244.11,Pashur_19,Rupsa-Pasur,Bagerhat,Mongla,22.0532,89.575,17-Mar-98,2-Feb-26,,,,,,,,,,,,,,,
19,SW244.12,Pashur_20,Rupsa-Pasur,Bagerhat,Mongla,22.0062,89.5538,17-Mar-98,2-Feb-26,,,,,,,,,,,,,,,
20,SW244.13,Pashur_21,Rupsa-Pasur,Bagerhat,Mongla,21.9842,89.5456,17-Mar-98,2-Feb-26,,,,,,,,,,,,,,,
21,SW244.15,Pashur_23,Rupsa-Pasur,Bagerhat,Mongla,21.9158,89.5344,17-Mar-98,3-Feb-26,,,,,,,,,,,,,,,
22,SW244.16,Pashur_24,Rupsa-Pasur,Bagerhat,Mongla,21.8691,89.5309,17-Mar-98,3-Feb-26,,,,,,,,,,,,,,,
23,SW244.17,Pashur_25,Rupsa-Pasur,Bagerhat,Mongla,21.8212,89.4944,17-Mar-98,3-Feb-26,,,,,,,,,,,,,,,
24,SW244.18,Pashur_26,Rupsa-Pasur,Bagerhat,Mongla,21.8007,89.4721,17-Mar-98,3-Feb-26,,,,,,,,,,,,,,,
25,SW259.10,Shibsa_10,Sibsa,Bagerhat,Mongla,22.0794,89.5163,18-Mar-98,2-Feb-26,,,,,,,,,,,,,,,
