Year,District,River,Station,Stage,Item,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar
1976-77,Khulna,Rupsa-Pasur,Khulna,HWS,Max,13000,13600,6000,270,270,335,260,300,345,460,1950,4000
1976-77,Khulna,Rupsa-Pasur,Khulna,HWS,Mean,10420,9877,1312,235,249,280,253,279,320,403,771,2125
1976-77,Khulna,Rupsa-Pasur,Khulna,HWS,Min,7300,4700,210,210,210,250,240,260,300,355,410,460
1976-77,Khulna,Rupsa-Pasur,Khulna,LWS,Max,11300,12000,2700,310,255,360,255,300,350,460,700,1425
1976-77,Khulna,Rupsa-Pasur,Khulna,LWS,Mean,8600,7544,775,273,243,271,236,277,317,395,497,1288
1976-77,Khulna,Rupsa-Pasur,Khulna,LWS,Min,6000,2400,200,230,215,230,220,260,300,350,415,450
1977-78,Khulna,Rupsa-Pasur,Khulna,HWS,Max,7950,1570,1000,250,230,,220,280,310,460,440,480
1977-78,Khulna,Rupsa-Pasur,Khulna,HWS,Mean,2794,576,348,223,210,,220,260,305,351,386,374
1977-78,Khulna,Rupsa-Pasur,Khulna,HWS,Min,460,320,220,200,190,,220,230,300,320,340,350
1977-78,Khulna,Rupsa-Pasur,Khulna,LWS,Max,4000,590,350,220,230,,240,270,310,400,440,400
1977-78,Khulna,Rupsa-Pasur,Khulna,LWS,Mean,1321,369,275,208,215,,230,260,303,352,377,363
1977-78,Khulna,Rupsa-Pasur,Khulna,LWS,Min,430,310,220,200,200,,220,250,290,320,340,350
1978-79,Khulna,Rupsa-Pasur,Khulna,HWS,Max,570,1300,320,,,,335,450,420,480,1050,
1978-79,Khulna,Rupsa-Pasur,Khulna,HWS,Mean,412,387,252,,,,311,388,378,435,485,
1978-79,Khulna,Rupsa-Pasur,Khulna,HWS,Min,310,310,200,,,,300,335,340,400,400,
1978-79,Khulna,Rupsa-Pasur,Khulna,LWS,Max,340,440,340,,,,320,360,430,440,780,
1978-79,Khulna,Rupsa-Pasur,Khulna,LWS,Mean,316,288,242,,,,257,343,374,426,443,
1978-79,Khulna,Rupsa-Pasur,Khulna,LWS,Min,290,290,170,,,,150,330,340,360,380,
1979-80,Khulna,Rupsa-Pasur,Khulna,HWS,Max,1300,1500,750,,,,360,3540,3900,5500,,
1979-80,Khulna,Rupsa-Pasur,Khulna,HWS,Mean,712,693,441,,,,337,418,856,2507,,
1979-80,Khulna,Rupsa-Pasur,Khulna,HWS,Min,420,400,320,,,,290,360,435,710,,
1979-80,Khulna,Rupsa-Pasur,Khulna,LWS,Max,700,1100,500,,,,360,530,1420,3800,,
